date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:45:31	35181/35181	---MCZ	200	added ('OK')	text/html	etag:W/%225fbd3429-896d%22	https://demo.dashboardpack.com/marketing-html/State_color.html	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/State_color.html	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:32	49794/49794	---MCZ	200	added ('OK')	text/html	etag:W/%225fbd342b-c282%22	https://demo.dashboardpack.com/marketing-html/typography.html	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/typography.html	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:33	29851/29851	---MCZ	200	added ('OK')	text/html	etag:W/%225fbd3418-749b%22	https://demo.dashboardpack.com/marketing-html/datepicker.html	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/datepicker.html	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:34	1122/1122	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225fbd349f-462%22	https://demo.dashboardpack.com/marketing-html/img/menu-icon/4.svg	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/img/menu-icon/4.svg	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:34	38095/38095	---MCZ	200	added ('OK')	text/html	etag:W/%225fbd3411-94cf%22	https://demo.dashboardpack.com/marketing-html/Basic_Elements.html	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/Basic_Elements.html	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:35	47444/47444	---MCZ	200	added ('OK')	text/html	etag:W/%225fbd341d-b954%22	https://demo.dashboardpack.com/marketing-html/Groups.html	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/Groups.html	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:36	31592/31592	---MCZ	200	added ('OK')	text/html	etag:W/%225fbd3424-7b68%22	https://demo.dashboardpack.com/marketing-html/Max_Length.html	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/Max_Length.html	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:37	42191/42191	---MCZ	200	added ('OK')	text/html	etag:W/%225fbd3420-a4cf%22	https://demo.dashboardpack.com/marketing-html/Layouts.html	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/Layouts.html	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:37	1080/1080	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225fbd34a0-438%22	https://demo.dashboardpack.com/marketing-html/img/menu-icon/5.svg	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/img/menu-icon/5.svg	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:38	34744/34744	---MCZ	200	added ('OK')	text/html	etag:W/%225fbd341b-87b8%22	https://demo.dashboardpack.com/marketing-html/Fontawesome_Icon.html	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/Fontawesome_Icon.html	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:40	56722/56722	---MCZ	200	added ('OK')	text/html	etag:W/%225fbd342a-dd92%22	https://demo.dashboardpack.com/marketing-html/themefy_icon.html	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/themefy_icon.html	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:41	1150/1150	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225fbd34a0-47e%22	https://demo.dashboardpack.com/marketing-html/img/menu-icon/6.svg	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/img/menu-icon/6.svg	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:42	35581/35581	---MCZ	200	added ('OK')	text/html	etag:W/%225fbd342d-8afd%22	https://demo.dashboardpack.com/marketing-html/wow_animation.html	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/wow_animation.html	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:43	35301/35301	---MCZ	200	added ('OK')	text/html	etag:W/%225fbd3428-89e5%22	https://demo.dashboardpack.com/marketing-html/Scroll_Reveal.html	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/Scroll_Reveal.html	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:44	36573/36573	---MCZ	200	added ('OK')	text/html	etag:W/%225fbd342b-8edd%22	https://demo.dashboardpack.com/marketing-html/tilt.html	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/tilt.html	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:45	1686/1686	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225fbd34a1-696%22	https://demo.dashboardpack.com/marketing-html/img/menu-icon/7.svg	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/img/menu-icon/7.svg	(from https://demo.dashboardpack.com/marketing-html/index.html)
